The list_file_train:./annotation/DFEW_set_1_train.txt; The list_file_val:./annotation/DFEW_set_1_test.txt.********************0********************
Current learning rate: 0.01
Epoch: [0][  0/292]	Loss 2.0498 (2.0498)	Accuracy 18.750 (18.750)
Epoch: [3][ 30/292]	Loss 1.8603 (1.7620)	Accuracy 12.500 (24.194)
Epoch: [3][ 40/292]	Loss 2.1343 (1.7729)	Accuracy 18.750 (24.162)
Epoch: [3][ 50/292]	Loss 1.8190 (1.7769)	Accuracy 21.875 (24.694)
Epoch: [3][ 60/292]	Loss 1.6627 (1.7732)	Accuracy 31.250 (25.256)
Epoch: [3][ 70/292]	Loss 1.7260 (1.7719)	Accuracy 31.250 (25.748)
Epoch: [3][ 80/292]	Loss 1.7981 (1.7685)	Accuracy 15.625 (25.810)
Epoch: [3][ 90/292]	Loss 1.8968 (1.7701)	Accuracy 15.625 (25.446)
Epoch: [3][100/292]	Loss 1.6668 (1.7673)	Accuracy 37.500 (25.712)
Epoch: [3][110/292]	Loss 1.8428 (1.7605)	Accuracy 28.125 (25.704)
Epoch: [3][120/292]	Loss 1.7210 (1.7620)	Accuracy 37.500 (25.801)
Epoch: [3][130/292]	Loss 1.7565 (1.7603)	Accuracy 28.125 (25.883)
Epoch: [3][140/292]	Loss 1.8220 (1.7582)	Accuracy 25.000 (25.931)
Epoch: [3][150/292]	Loss 1.8299 (1.7604)	Accuracy 25.000 (25.662)
Epoch: [3][160/292]	Loss 1.9395 (1.7622)	Accuracy 12.500 (25.621)
Epoch: [3][170/292]	Loss 1.7524 (1.7616)	Accuracy 25.000 (25.439)
Epoch: [3][180/292]	Loss 1.6015 (1.7598)	Accuracy 34.375 (25.328)
Epoch: [3][190/292]	Loss 1.7621 (1.7614)	Accuracy 18.750 (25.295)
Epoch: [3][200/292]	Loss 1.6869 (1.7590)	Accuracy 34.375 (25.218)
Epoch: [3][210/292]	Loss 1.5994 (1.7575)	Accuracy 40.625 (25.355)
Epoch: [3][220/292]	Loss 1.6964 (1.7584)	Accuracy 25.000 (25.368)
Epoch: [3][230/292]	Loss 1.8111 (1.7594)	Accuracy 28.125 (25.311)
Epoch: [3][240/292]	Loss 1.7471 (1.7575)	Accuracy 31.250 (25.571)
Epoch: [3][250/292]	Loss 1.8369 (1.7559)	Accuracy 18.750 (25.647)
Epoch: [3][260/292]	Loss 1.7113 (1.7554)	Accuracy 12.500 (25.599)
Epoch: [3][270/292]	Loss 1.7501 (1.7567)	Accuracy 37.500 (25.703)
Epoch: [3][280/292]	Loss 1.7528 (1.7568)	Accuracy 34.375 (25.723)
Epoch: [3][290/292]	Loss 1.6508 (1.7560)	Accuracy 21.875 (25.677)
Test: [ 0/74]	Loss 1.7601 (1.7601)	Accuracy 25.000 (25.000)
Test: [10/74]	Loss 1.8115 (1.7285)	Accuracy 25.000 (26.420)
Test: [20/74]	Loss 1.8183 (1.7575)	Accuracy 28.125 (26.339)
Test: [30/74]	Loss 1.7453 (1.7655)	Accuracy 25.000 (25.706)
Test: [40/74]	Loss 1.7784 (1.7614)	Accuracy 18.750 (26.296)
Test: [50/74]	Loss 1.7619 (1.7659)	Accuracy 40.625 (26.103)
Test: [60/74]	Loss 1.5112 (1.7494)	Accuracy 53.125 (27.203)
Test: [70/74]	Loss 1.6535 (1.7371)	Accuracy 34.375 (27.113)
Current Accuracy: 26.442
The best accuracy: 26.44169044494629
An epoch time: {:.1f}s203.42450881004333
********************4********************
Current learning rate: 0.01
Epoch: [4][  0/292]	Loss 1.7242 (1.7242)	Accuracy 28.125 (28.125)
Epoch: [4][ 10/292]	Loss 1.5801 (1.7285)	Accuracy 28.125 (24.716)
Epoch: [4][ 20/292]	Loss 1.6983 (1.7455)	Accuracy 18.750 (25.595)
Epoch: [4][ 30/292]	Loss 1.8160 (1.7396)	Accuracy 18.750 (25.302)
Epoch: [4][ 40/292]	Loss 1.6876 (1.7353)	Accuracy 18.750 (26.677)
Epoch: [4][ 50/292]	Loss 1.6841 (1.7410)	Accuracy 21.875 (26.961)
Epoch: [4][ 60/292]	Loss 1.7332 (1.7402)	Accuracy 28.125 (27.561)
Epoch: [4][ 70/292]	Loss 1.7643 (1.7481)	Accuracy 18.750 (27.113)
Epoch: [4][ 80/292]	Loss 1.7763 (1.7486)	Accuracy 18.750 (27.199)
Epoch: [4][ 90/292]	Loss 1.8751 (1.7523)	Accuracy 21.875 (27.026)
Epoch: [4][100/292]	Loss 1.8446 (1.7547)	Accuracy 15.625 (26.609)
Epoch: [4][110/292]	Loss 1.6957 (1.7487)	Accuracy 28.125 (26.689)
Epoch: [4][120/292]	Loss 1.5597 (1.7484)	Accuracy 46.875 (26.524)
Epoch: [4][130/292]	Loss 1.9297 (1.7527)	Accuracy  6.250 (26.050)
Epoch: [4][140/292]	Loss 1.6892 (1.7527)	Accuracy 34.375 (26.020)
Epoch: [4][150/292]	Loss 1.7785 (1.7520)	Accuracy 18.750 (26.076)
Epoch: [4][160/292]	Loss 1.7826 (1.7519)	Accuracy 25.000 (26.029)
Epoch: [4][170/292]	Loss 1.7290 (1.7491)	Accuracy  9.375 (25.914)
Epoch: [4][180/292]	Loss 1.8547 (1.7489)	Accuracy 18.750 (25.950)
Epoch: [4][190/292]	Loss 1.6280 (1.7460)	Accuracy 34.375 (26.063)
Epoch: [4][200/292]	Loss 1.8877 (1.7451)	Accuracy 34.375 (26.197)
Epoch: [4][210/292]	Loss 1.7681 (1.7450)	Accuracy 25.000 (26.289)
Epoch: [4][220/292]	Loss 1.8633 (1.7452)	Accuracy 12.500 (26.160)
Epoch: [4][230/292]	Loss 1.7911 (1.7472)	Accuracy 28.125 (26.042)
Epoch: [4][240/292]	Loss 1.7108 (1.7453)	Accuracy 21.875 (26.232)
Epoch: [4][250/292]	Loss 1.7801 (1.7461)	Accuracy 12.500 (26.083)
Epoch: [4][260/292]	Loss 1.6824 (1.7443)	Accuracy 25.000 (26.149)
Epoch: [4][270/292]	Loss 1.5868 (1.7408)	Accuracy 34.375 (26.326)
Epoch: [4][280/292]	Loss 1.8292 (1.7389)	Accuracy 25.000 (26.524)
Epoch: [4][290/292]	Loss 1.6783 (1.7396)	Accuracy 21.875 (26.493)
Test: [ 0/74]	Loss 1.7326 (1.7326)	Accuracy 25.000 (25.000)
Test: [10/74]	Loss 1.8057 (1.6984)	Accuracy 18.750 (26.420)
Test: [20/74]	Loss 1.8183 (1.7439)	Accuracy 18.750 (26.190)
Test: [30/74]	Loss 1.7181 (1.7492)	Accuracy 28.125 (25.605)
Test: [40/74]	Loss 1.7875 (1.7378)	Accuracy 12.500 (25.991)
Test: [50/74]	Loss 1.7561 (1.7457)	Accuracy 31.250 (25.735)
Test: [60/74]	Loss 1.4511 (1.7286)	Accuracy 59.375 (26.895)
Test: [70/74]	Loss 1.6007 (1.7192)	Accuracy 50.000 (27.069)
Current Accuracy: 26.442
The best accuracy: 26.44169044494629
An epoch time: {:.1f}s203.0783176422119
********************5********************
Current learning rate: 0.01
Epoch: [5][  0/292]	Loss 1.6243 (1.6243)	Accuracy 34.375 (34.375)
Epoch: [5][ 10/292]	Loss 1.9433 (1.7187)	Accuracy 18.750 (25.000)
Epoch: [5][ 20/292]	Loss 1.6811 (1.6870)	Accuracy 25.000 (27.381)
Epoch: [5][ 30/292]	Loss 1.5548 (1.6832)	Accuracy 28.125 (26.613)
Epoch: [5][ 40/292]	Loss 1.7462 (1.6921)	Accuracy 28.125 (27.820)
Epoch: [5][ 50/292]	Loss 1.7308 (1.6942)	Accuracy 31.250 (28.554)
Epoch: [5][ 60/292]	Loss 1.8072 (1.7126)	Accuracy 28.125 (28.330)
Epoch: [5][ 70/292]	Loss 1.7080 (1.7174)	Accuracy 21.875 (27.509)
Epoch: [5][ 80/292]	Loss 1.6588 (1.7172)	Accuracy 21.875 (27.585)
Epoch: [5][ 90/292]	Loss 1.6507 (1.7168)	Accuracy 25.000 (27.438)
Epoch: [5][100/292]	Loss 1.7146 (1.7194)	Accuracy 31.250 (27.166)
Epoch: [5][110/292]	Loss 1.7688 (1.7190)	Accuracy 28.125 (27.365)
Epoch: [5][120/292]	Loss 1.8151 (1.7188)	Accuracy 21.875 (27.454)
Epoch: [5][130/292]	Loss 1.7705 (1.7219)	Accuracy 31.250 (27.505)
Epoch: [5][140/292]	Loss 1.5554 (1.7188)	Accuracy 28.125 (27.615)
Epoch: [5][150/292]	Loss 1.7226 (1.7196)	Accuracy 28.125 (27.649)
Epoch: [5][160/292]	Loss 1.9189 (1.7259)	Accuracy 15.625 (27.426)
Epoch: [5][170/292]	Loss 1.9335 (1.7280)	Accuracy  6.250 (27.303)
Epoch: [5][180/292]	Loss 1.8463 (1.7300)	Accuracy 31.250 (27.210)
Epoch: [5][190/292]	Loss 1.8229 (1.7313)	Accuracy 18.750 (27.143)
Epoch: [5][200/292]	Loss 1.7175 (1.7328)	Accuracy 28.125 (27.130)
Epoch: [5][210/292]	Loss 1.7405 (1.7315)	Accuracy 18.750 (27.133)
Epoch: [5][220/292]	Loss 1.7720 (1.7321)	Accuracy 28.125 (27.178)
Epoch: [5][230/292]	Loss 1.7708 (1.7328)	Accuracy 31.250 (27.137)
Epoch: [5][240/292]	Loss 1.8134 (1.7340)	Accuracy 21.875 (27.165)
Epoch: [5][250/292]	Loss 1.7501 (1.7350)	Accuracy 18.750 (27.179)
Epoch: [5][260/292]	Loss 1.8096 (1.7369)	Accuracy 28.125 (27.083)
Epoch: [5][270/292]	Loss 1.5182 (1.7351)	Accuracy 34.375 (27.122)
Epoch: [5][280/292]	Loss 1.8668 (1.7362)	Accuracy 18.750 (27.080)
Epoch: [5][290/292]	Loss 1.7491 (1.7357)	Accuracy 25.000 (27.105)
Test: [ 0/74]	Loss 1.6902 (1.6902)	Accuracy 25.000 (25.000)
Test: [10/74]	Loss 1.7871 (1.6918)	Accuracy 15.625 (25.568)
Test: [20/74]	Loss 1.7636 (1.7156)	Accuracy 15.625 (26.786)
Test: [30/74]	Loss 1.6801 (1.7273)	Accuracy 43.750 (26.109)
Test: [40/74]	Loss 1.8008 (1.7285)	Accuracy 12.500 (25.915)
Test: [50/74]	Loss 1.8220 (1.7326)	Accuracy 21.875 (26.225)
Test: [60/74]	Loss 1.5235 (1.7176)	Accuracy 37.500 (27.152)
Test: [70/74]	Loss 1.6657 (1.7063)	Accuracy 21.875 (26.981)
Current Accuracy: 26.954
The best accuracy: 26.95429229736328
An epoch time: {:.1f}s201.04222774505615
********************6********************
Current learning rate: 0.01
Epoch: [6][  0/292]	Loss 1.7864 (1.7864)	Accuracy 15.625 (15.625)
Epoch: [6][ 10/292]	Loss 1.9854 (1.7234)	Accuracy 15.625 (24.716)
Epoch: [6][ 20/292]	Loss 1.7294 (1.7244)	Accuracy 25.000 (24.851)
Epoch: [6][ 30/292]	Loss 1.6906 (1.7302)	Accuracy 37.500 (26.815)
Epoch: [6][ 40/292]	Loss 1.7058 (1.7343)	Accuracy 18.750 (25.915)
Epoch: [6][ 50/292]	Loss 1.6360 (1.7302)	Accuracy 25.000 (26.164)
Epoch: [6][ 60/292]	Loss 1.8269 (1.7326)	Accuracy 28.125 (26.281)
Epoch: [6][ 70/292]	Loss 1.7291 (1.7276)	Accuracy 21.875 (26.496)
Epoch: [6][ 80/292]	Loss 1.7882 (1.7209)	Accuracy 28.125 (26.775)
Epoch: [6][ 90/292]	Loss 1.7123 (1.7182)	Accuracy 34.375 (27.438)
Epoch: [6][100/292]	Loss 1.6087 (1.7185)	Accuracy 34.375 (27.723)
Epoch: [6][110/292]	Loss 1.6520 (1.7150)	Accuracy 34.375 (27.815)
Epoch: [6][120/292]	Loss 1.7619 (1.7168)	Accuracy 25.000 (27.944)
Epoch: [6][130/292]	Loss 1.7556 (1.7172)	Accuracy 18.750 (27.910)
Epoch: [6][140/292]	Loss 1.7684 (1.7184)	Accuracy 31.250 (28.014)
Epoch: [6][150/292]	Loss 1.6839 (1.7189)	Accuracy 34.375 (27.980)
Epoch: [6][160/292]	Loss 1.5365 (1.7166)	Accuracy 34.375 (28.125)
Epoch: [6][170/292]	Loss 1.7437 (1.7162)	Accuracy 28.125 (28.052)
Epoch: [6][180/292]	Loss 1.5424 (1.7116)	Accuracy 50.000 (28.401)
Epoch: [6][190/292]	Loss 1.7664 (1.7150)	Accuracy 28.125 (28.403)
Epoch: [6][200/292]	Loss 1.8280 (1.7126)	Accuracy 25.000 (28.654)
Epoch: [6][210/292]	Loss 1.8201 (1.7130)	Accuracy 25.000 (28.584)
Epoch: [6][220/292]	Loss 1.7380 (1.7144)	Accuracy 18.750 (28.309)
Epoch: [6][230/292]	Loss 1.7631 (1.7141)	Accuracy 28.125 (28.193)
Epoch: [6][240/292]	Loss 1.6852 (1.7115)	Accuracy 31.250 (28.553)
Epoch: [6][250/292]	Loss 1.8883 (1.7124)	Accuracy 34.375 (28.611)
Epoch: [6][260/292]	Loss 1.7444 (1.7146)	Accuracy 28.125 (28.436)
Epoch: [6][270/292]	Loss 1.7887 (1.7144)	Accuracy 25.000 (28.263)
Epoch: [6][280/292]	Loss 1.7830 (1.7141)	Accuracy 25.000 (28.158)
Epoch: [6][290/292]	Loss 1.8502 (1.7162)	Accuracy 21.875 (28.061)
Test: [ 0/74]	Loss 1.6977 (1.6977)	Accuracy 37.500 (37.500)
Test: [10/74]	Loss 1.8061 (1.6805)	Accuracy 21.875 (29.830)
Test: [20/74]	Loss 1.7957 (1.7334)	Accuracy 12.500 (26.786)
Test: [30/74]	Loss 1.6939 (1.7497)	Accuracy 18.750 (25.806)
Test: [40/74]	Loss 1.8089 (1.7356)	Accuracy 21.875 (26.296)
Test: [50/74]	Loss 1.7055 (1.7401)	Accuracy 34.375 (25.980)
Test: [60/74]	Loss 1.4852 (1.7295)	Accuracy 50.000 (26.332)
Test: [70/74]	Loss 1.5401 (1.7170)	Accuracy 50.000 (26.849)
Current Accuracy: 27.253
The best accuracy: 27.25330924987793
An epoch time: {:.1f}s200.59954357147217
********************7********************
Current learning rate: 0.01
Epoch: [7][  0/292]	Loss 1.6280 (1.6280)	Accuracy 34.375 (34.375)
Epoch: [7][ 10/292]	Loss 1.7938 (1.7488)	Accuracy 25.000 (33.523)
Epoch: [7][ 20/292]	Loss 1.6042 (1.7399)	Accuracy 50.000 (31.994)
Epoch: [7][ 30/292]	Loss 1.8880 (1.7497)	Accuracy 15.625 (29.536)
Epoch: [7][ 40/292]	Loss 1.7373 (1.7436)	Accuracy 37.500 (29.040)
Epoch: [7][ 50/292]	Loss 1.9331 (1.7456)	Accuracy 21.875 (27.941)
Epoch: [7][ 60/292]	Loss 1.7985 (1.7422)	Accuracy 25.000 (28.074)
Epoch: [7][ 70/292]	Loss 1.7486 (1.7340)	Accuracy 18.750 (28.609)
Epoch: [7][ 80/292]	Loss 2.0314 (1.7371)	Accuracy 18.750 (28.318)
Epoch: [7][ 90/292]	Loss 1.6742 (1.7294)	Accuracy 21.875 (28.537)
Epoch: [7][100/292]	Loss 1.6555 (1.7298)	Accuracy 34.375 (28.713)
Epoch: [7][110/292]	Loss 1.5988 (1.7292)	Accuracy 28.125 (28.519)
Epoch: [7][120/292]	Loss 1.6835 (1.7243)	Accuracy 18.750 (28.667)
Epoch: [7][130/292]	Loss 1.6497 (1.7217)	Accuracy 28.125 (28.817)
Epoch: [7][140/292]	Loss 1.7528 (1.7158)	Accuracy 25.000 (29.189)
Epoch: [7][150/292]	Loss 1.5617 (1.7161)	Accuracy 40.625 (29.429)
Epoch: [7][160/292]	Loss 1.8971 (1.7175)	Accuracy 21.875 (29.523)
Epoch: [7][170/292]	Loss 1.6691 (1.7161)	Accuracy 31.250 (29.532)
Epoch: [7][180/292]	Loss 1.6011 (1.7132)	Accuracy 43.750 (29.385)
Epoch: [7][190/292]	Loss 1.6370 (1.7116)	Accuracy 40.625 (29.319)
Epoch: [7][200/292]	Loss 1.7764 (1.7126)	Accuracy 28.125 (29.027)
Epoch: [7][210/292]	Loss 1.7137 (1.7133)	Accuracy 25.000 (28.984)
Epoch: [7][220/292]	Loss 1.7317 (1.7123)	Accuracy 28.125 (29.058)
Epoch: [7][230/292]	Loss 1.6759 (1.7117)	Accuracy 25.000 (29.113)
Epoch: [7][240/292]	Loss 1.5352 (1.7103)	Accuracy 37.500 (29.149)
Epoch: [7][250/292]	Loss 1.7201 (1.7101)	Accuracy 31.250 (29.158)
Epoch: [7][260/292]	Loss 1.5875 (1.7092)	Accuracy 31.250 (29.298)
Epoch: [7][270/292]	Loss 1.5109 (1.7065)	Accuracy 43.750 (29.486)
Epoch: [7][280/292]	Loss 1.7463 (1.7064)	Accuracy 34.375 (29.504)
Epoch: [7][290/292]	Loss 1.6208 (1.7063)	Accuracy 28.125 (29.435)
Test: [ 0/74]	Loss 1.6573 (1.6573)	Accuracy 37.500 (37.500)
